street_address,price,beds,baths,sqft,price/sqft,prop type,county,community,built,parking,air conditioning,kitchen,dishwasher,laundry,heating,elevator
291 Summer St,209900,5,1,"1,480",$142 / Sq. Ft.,Single Family Detached,Worcester,Barre,1900,,,True,,,,
91 Cut Off Rd,599000,5,3.5,"5,288",$113 / Sq. Ft.,Single Family Detached,Worcester,Barre,1998,,,True,,,True,
0 Grogan Rd L:3,34899,—,—,—,Sq. Ft.,Residential,Worcester,Barre,,,,,,,,
316 S Barre Rd,119000,4,1,"1,506",$79 / Sq. Ft.,Single Family Detached,Worcester,Barre,1947,,,,,,,
57 Butterworth Rd,269900,3,2,"2,102",$128 / Sq. Ft.,Single Family Detached,Worcester,Barre,2002,,,True,,True,True,
1090 Wauwinet Rd,165000,2,1,864,$191 / Sq. Ft.,Single Family Detached,Worcester,Barre,1980,,,,,,,
440 Worcester Rd,205000,3,2,"2,400",$85 / Sq. Ft.,Single Family Detached,Worcester,Barre,1952,,,True,,True,,
406 South St,98000,3,1,"1,460",$67 / Sq. Ft.,Single Family Detached,Worcester,Barre,1964,,,,,,,
396 Wheelwright Rd,217500,2,1.5,"1,324",$164 / Sq. Ft.,Single Family Detached,Worcester,Barre,1970,,,True,,True,,
673 Old Petersham Rd,194500,3,1.5,"1,365",$142 / Sq. Ft.,Single Family Detached,Worcester,Barre,1998,,,True,,,True,
220-222 Peach St,159000,6,2,"2,268",$70 / Sq. Ft.,2 Units Side-by-Side,Worcester,Barre,1926,,,,,,,
65 GAUTHIER Rd,85900,3,2,"1,200",$72 / Sq. Ft.,,Worcester,WATERWHEEL VILLAGE,2007,,,True,,True,,
42 Nelson Way,269000,3,2,"1,370",$196 / Sq. Ft.,Single Family Detached,Worcester,Barre,2017,,,True,,,,
7 Nelson Way,359900,5,3,"3,982",$90 / Sq. Ft.,Single Family Detached,Worcester,Barre,2005,,,True,,,True,
24 Wheelwright Rd,45100,2,1,588,$77 / Sq. Ft.,Single Family Detached,Worcester,Barre,1900,,,,,,,
531 Summer St,250000,1,2.5,"3,200",$78 / Sq. Ft.,4 Family,Worcester,Barre,1900,,,,,,,
136 South St,225000,5,3,"3,648",$62 / Sq. Ft.,2 Family,Worcester,Barre,1862,,,True,,,,
36 James St,225000,5,2,"3,048",$74 / Sq. Ft.,2 Units Up/Down,Worcester,Barre,1839,,,,,True,,
80 TERRY Ln,278500,4,2,"2,172",$128 / Sq. Ft.,Single Family Detached,Worcester,Barre,1989,,,True,,True,,
46 Austin St,77000,3,1,"2,770",$28 / Sq. Ft.,Single Family Detached,Worcester,Barre,1900,,,,,,,
189 Wheelwright Rd,264900,2,2,"1,764",$150 / Sq. Ft.,Single Family Detached,Worcester,Barre,1960,,,True,,,,
1039 Thresher Rd,397500,4,2.5,"3,403",$117 / Sq. Ft.,Single Family Detached,Worcester,Hardwick,2007,,,True,,True,,
306 Williamsville Rd,250000,3,1.5,"1,708",$146 / Sq. Ft.,Single Family Detached,Worcester,Barre,1780,,,True,,True,,
0 Cole Pl,67500,—,—,—,Sq. Ft.,Residential,Worcester,Barre,,,,,,,,
Lot 4A Wauwinet Rd,288900,3,1,"1,331",$217 / Sq. Ft.,Single Family Detached,Worcester,Barre,2014,,,,,,,
1791 Barre,265000,3,2,"2,112",$125 / Sq. Ft.,Single Family Detached,Worcester,Hardwick,2005,,,True,,True,,
329 Upper Church St,334900,3,2.5,"2,900",$115 / Sq. Ft.,Single Family Detached,Worcester,Hardwick,1975,,,True,,,,
32 Church St,119900,3,1,"1,071",$112 / Sq. Ft.,Single Family Detached,Worcester,Hardwick,1959,,,,,,,
52 Dow Rd,274900,4,2,"2,066",$133 / Sq. Ft.,Single Family Detached,Worcester,Hardwick,1980,,,True,,,,
1224 Petersham Rd,419500,4,2,"2,388",$176 / Sq. Ft.,Single Family Detached,Worcester,Hardwick Village,1790,,,True,,,True,
0 Mellon Rd,29499,—,—,—,Sq. Ft.,Residential,Worcester,Hardwick,,,,,,,,
B & C Ruggles Hl,38000,—,—,—,Sq. Ft.,Residential,Worcester,Hardwick,,,,,,,,
250 Breen Rd,20000,—,—,—,Sq. Ft.,Residential,Worcester,Hardwick,,,,,,,,
0 North Rd,45000,—,—,—,Sq. Ft.,Residential,Worcester,Hardwick,,,,,,,,
0 Melon Rd,195000,—,—,—,Sq. Ft.,Residential,Worcester,Hardwick,,,,,,,,
xxx North Rd,49000,—,—,—,Sq. Ft.,Residential,Worcester,Hardwick,,,,,,,,
1140 Petersham Rd,39900,—,—,—,Sq. Ft.,Residential,Worcester,Hardwick,,,,,,,,
1116 North Rd,549000,3,4,"2,960",$185 / Sq. Ft.,Single Family Detached,Worcester,Hardwick,2001,,,True,,,,
308 Edson Rd,89900,3,1.5,"1,389",$65 / Sq. Ft.,Single Family Detached,Worcester,Oakham,1984,,,,,,,
175 Hunt Rd,289900,3,2.5,"1,824",$159 / Sq. Ft.,Single Family Detached,Worcester,Oakham,2004,,,True,,True,,
499 Ware Corner Rd,324900,3,3,"1,906",$170 / Sq. Ft.,Single Family Detached,Worcester,Oakham,2004,,,,,True,,
1874 Old Turnpike Rd,339900,3,2,"2,760",$123 / Sq. Ft.,Single Family Detached,Worcester,Oakham,1710,,,True,,,,
55 Oakview Ln,189900,4,3,"1,690",$112 / Sq. Ft.,Single Family Detached,Worcester,Oakham,1993,,,,,,,
790 Scott Rd,78900,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
Parcel 2 Robinson Rd,74800,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
Lot 1 Forest Hl,329900,3,2.5,"1,728",$191 / Sq. Ft.,Single Family Detached,Worcester,Oakham,2017,,,,,,,
Lot 2 Forest Hl,65000,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
Lot 3 Forest Hl,65000,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
Lot 5 Forest Hl,65000,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
Lot 9 Forest Hl,65000,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
Lot 10 Forest Hl,65000,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
0 Skyline Dr,124900,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
0 N Brookfield Rd,89000,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
Lot 3 Robinson Rd,67500,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
1670 Old Turnpike Rd,149900,—,—,—,Sq. Ft.,Residential,Worcester,Oakham,,,,,,,,
926 Old Turnpike Rd,599900,3,2,"2,364",$254 / Sq. Ft.,Single Family Detached,Worcester,Oakham,1972,,,,,,True,
0 Ware,19900,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
LOT 1 COY HILL Rd,30000,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
2813 Greenwich Rd,490000,2,2,"4,000",$123 / Sq. Ft.,Single Family Detached,Worcester,Hardwick,2003,,,,,,,
838 A Muddy Brook Rd,319900,3,2.5,"2,292",$140 / Sq. Ft.,Single Family Detached,Worcester,Hardwick,2004,,,True,,True,,
1234 Petersham Rd,28500,—,—,—,Sq. Ft.,Residential,Worcester,Hardwick,,,,,,,,
2692 Greenwich Rd,1400000,3,3,"2,265",$618 / Sq. Ft.,Single Family Detached,Worcester,Hardwick,2003,,,True,,,,
70 North St #70,105000,3,2,"1,438",$73 / Sq. Ft.,Condominium,Worcester,Hardwick,1900,True,,,,True,,
68 North St #68,105000,3,2,"1,442",$73 / Sq. Ft.,Condominium,Worcester,Hardwick,1900,True,,,,True,,
810 Little Rest Rd,349000,3,2,"1,998",$175 / Sq. Ft.,Single Family Detached,Worcester,Warren,1992,,,True,,,,
1493 Southbridge Rd,274900,4,3,"3,354",$82 / Sq. Ft.,Single Family Detached,Worcester,Warren,1987,,,,,,,
72 Pleasant St,139900,3,1,"1,297",$108 / Sq. Ft.,Single Family Detached,Worcester,Warren,1880,,,True,,,,
142-144 Maple St,199900,8,3,"3,282",$61 / Sq. Ft.,2 Units Side-by-Side,Worcester,West Warren,1882,True,,True,,True,True,
153 Crouch Rd,229000,3,2.5,"1,638",$140 / Sq. Ft.,Single Family Detached,Worcester,West Warren,2005,,,True,,,,
234 W Old Warren Rd,179000,3,1,980,$183 / Sq. Ft.,Single Family Detached,Worcester,Warren,1970,,,True,,,,
39 Couture Dr,194000,3,2,"3,120",$62 / Sq. Ft.,Farm,Worcester,Warren,1882,,,,,,,
24 Southbridge Road Ext,289000,3,1,"1,554",$186 / Sq. Ft.,Single Family Detached,Worcester,Warren,1800,,,True,,True,,
1355 Bemis Rd,35000,—,—,—,Sq. Ft.,Residential,Hampden,Warren,,,,,,,,
0 Cronin Rd Lot 2,18500,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
0 Cronin Rd Lot 3,18500,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
0 Cronin Rd Lot 4,18500,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
Lot 1 Brimfield Rd,25000,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
Lot 2 Brimfield Rd,25000,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
0 Brimfield Rd,199900,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
680 Brimfield Rd,224900,3,1,"1,190",$189 / Sq. Ft.,Single Family Detached,Worcester,Warren,1975,,,,,,,
261 Dunham Rd,384900,3,2.5,"3,951",$97 / Sq. Ft.,Single Family Detached,Worcester,Warren,2001,,,True,,True,,
235 Southbridge Rd,129900,3,1,"1,406",$92 / Sq. Ft.,Single Family Detached,Worcester,Warren,1870,,,True,,,,
796 Reed St,293900,3,2.5,"2,108",$139 / Sq. Ft.,Single Family Detached,Worcester,Warren,2015,,,True,,True,,
0 Cronin Rd Lot 7,29900,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
0 Cronin Rd Lot 1,18500,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
33 Carl St,109000,3,2,"1,441",$76 / Sq. Ft.,Single Family Detached,Worcester,Warren,1900,,,True,,,,
0 Cronin Rd L:,19900,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
lot 155 Bemis Rd,94500,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
12 Presidential Cir,39900,2,1.5,"1,080",$37 / Sq. Ft.,,Worcester,Heritage Mobile Home Park,1980,,,,,,,
0 Cronin Rd,30000,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
77 O Neal Rd,19900,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
356 Ware,14900,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
0 Brimfield,74900,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
0 Old West Warren,14900,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
0 Main,19900,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
26 Crescent St,24500,—,—,—,Sq. Ft.,Residential,Worcester,Warren,,,,,,,,
49 Constitution Ave,94000,2,2,"1,822",$52 / Sq. Ft.,,Worcester,Hillside Estates,2005,,,True,,,,
69 Auburn Pl,65600,4,2,"1,515",$43 / Sq. Ft.,Single Family Detached,Worcester,Athol,1850,,,True,,,,
45 Riley Switch Rd,110000,3,2,"2,331",$47 / Sq. Ft.,Single Family Detached,Worcester,Phillipston,1975,,,,,,,
Lot 2 Petersham Rd,22500,—,—,—,Sq. Ft.,Residential,Worcester,Athol,,,,,,,,
119 Highland Ave,150000,4,1,"1,698",$88 / Sq. Ft.,Single Family Detached,Worcester,Athol,1900,,,True,,,,
Lot 71 Secret Lake Rd,4000,—,—,—,Sq. Ft.,Residential,Worcester,Phillipston,,,,,,,,
760 Lenox St,100000,3,1,"1,296",$77 / Sq. Ft.,Single Family Detached,Worcester,Athol,1940,,,,,,,
153 Lake St,137000,3,1.5,"1,166",$117 / Sq. Ft.,Single Family Detached,Worcester,Athol,1902,True,,,,True,,
44 S Athol Rd,229000,5,2.5,"2,600",$88 / Sq. Ft.,Single Family Detached,Worcester,Athol,2003,,,True,,,,
2329 Old Keene Rd,234000,3,1,"1,338",$175 / Sq. Ft.,Single Family Detached,Worcester,Athol,1988,,,True,,True,True,
385 Exchange St,104900,4,1.5,"2,008",$52 / Sq. Ft.,Single Family Detached,Worcester,Athol,1910,,,,,,,
1547 W Royalston Rd,199900,3,1,"1,025",$195 / Sq. Ft.,Single Family Detached,Worcester,Athol,1992,True,,True,,,,
54 Central,149999,3,2,"2,080",$72 / Sq. Ft.,Single Family Detached,Worcester,Athol,2003,,,True,,True,,
212 Crescent St,179900,4,1.5,"1,860",$97 / Sq. Ft.,Single Family Detached,Worcester,Athol,1880,,,True,,,,
350 Secret Lake Rd,249900,3,2,"1,402",$178 / Sq. Ft.,Single Family Attached,Worcester,Athol,2005,,,,,,,
370 State Rd,239900,3,1,"1,376",$174 / Sq. Ft.,Single Family Detached,Worcester,Phillipston,1965,,,True,,,,
0 Woodland Dr,34900,—,—,—,Sq. Ft.,Residential,Worcester,Athol,,,,,,,,
Lot 159 Chase Rd,29900,—,—,—,Sq. Ft.,Residential,Worcester,Athol,,,,,,,,
Lot 160 Chestnut St,16500,—,—,—,Sq. Ft.,Residential,Worcester,Athol,,,,,,,,
Lot 161 Chestnut St,16500,—,—,—,Sq. Ft.,Residential,Worcester,Athol,,,,,,,,
Lot 162 Chestnut St,16500,—,—,—,Sq. Ft.,Residential,Worcester,Athol,,,,,,,,
Lot 163 Chestnut St,16500,—,—,—,Sq. Ft.,Residential,Worcester,Athol,,,,,,,,
132 Woodland Dr,149900,2,1,944,$159 / Sq. Ft.,Single Family Detached,Worcester,Athol,1978,,,,,,,
Lot 158 Chase Rd,19500,—,—,—,Sq. Ft.,Residential,Worcester,Athol,,,,,,,,
3 Scout Rock Rd,330000,4,1,"1,315",$251 / Sq. Ft.,Single Family Detached,Worcester,Phillipston,1950,,,True,,,,
195 Ward Hill Rd,260000,3,3,"1,725",$151 / Sq. Ft.,Single Family Detached,Worcester,Phillipston,2003,,,True,,,,
113 Cass Cir,157900,2,1,900,$175 / Sq. Ft.,Single Family Detached,Worcester,Athol,1979,,,True,,,,
19 Mechanic St,50000,4,2,"1,598",$31 / Sq. Ft.,Single Family Detached,Worcester,Athol,1865,,,,,,,
1406 Main St,425000,4,3.5,"3,044",$140 / Sq. Ft.,Single Family Detached,Worcester,Athol,1900,,,True,,True,,
850 Royalston Rd,79900,—,—,—,Sq. Ft.,Residential,Worcester,Phillipston,,,,,,,,
53 Lindsay Ln,299000,4,2.5,"2,968",$101 / Sq. Ft.,Single Family Detached,Worcester,Athol,1986,,,True,,,True,
77 PROSPECT St,119900,4,2,"2,468",$49 / Sq. Ft.,2 Family,Worcester,Athol,1900,,,,,,,
106 Ridge Ave,149900,8,3,"3,498",$43 / Sq. Ft.,Single Family Detached,Worcester,Athol,1900,,,,,,,
335 Cobb Hill Rd,345000,3,2.5,"2,240",$154 / Sq. Ft.,Single Family Detached,Worcester,Athol,1999,,,True,,True,True,
Lot 1E Old Keene Rd,20000,—,—,—,Sq. Ft.,Residential,Worcester,Athol,,,,,,,,
63 Goddard St,114500,3,1,988,$116 / Sq. Ft.,Single Family Detached,Worcester,Athol,1908,,,True,,,,
292 Cottage St,124900,4,2.5,"2,068",$60 / Sq. Ft.,Single Family Detached,Worcester,Athol,1920,,,,,,,
302 Hapggod St,135000,3,1.5,"1,174",$115 / Sq. Ft.,Single Family Detached,Worcester,Athol,1910,,,,,,,
415 Pleasant St,438500,5,3.5,"4,200",$104 / Sq. Ft.,Single Family Detached,Worcester,Athol,1884,,,True,,,,
42 Earl Dr,73000,3,2,"1,455",$50 / Sq. Ft.,,Worcester,Athol,1986,,,,,True,,
23 Fletcher Pl,126900,3,1,"1,440",$88 / Sq. Ft.,Single Family Detached,Worcester,Athol,1900,,,True,,,True,
465 Williamsville Rd,39000,—,—,—,Sq. Ft.,Residential,Worcester,Phillipston,,,,,,,,
25 Arthur,99000,3,1,"1,004",$99 / Sq. Ft.,Single Family Detached,Worcester,Athol,1950,,,True,,,,
50 Glen St,129900,5,1.5,"2,369",$55 / Sq. Ft.,Single Family Detached,Worcester,Athol,1900,,,,,,,
1848 Main St,129900,4,2,"2,504",$52 / Sq. Ft.,2 Units Up/Down,Worcester,Athol,1870,True,,,,True,,
27 - 29 Ridge Ave,169000,6,4,"3,708",$46 / Sq. Ft.,4 Family,Worcester,Athol,1900,,,,,True,True,
372 Crescent,89500,4,2,"1,785",$50 / Sq. Ft.,2 Family,Worcester,Athol,1930,True,,,,,,
238 Cottage St,114500,8,3,"3,146",$36 / Sq. Ft.,2 Units Side-by-Side,Worcester,Athol,1900,True,,,,,,
36 Spa Rd,296495,4,1,"1,416",$209 / Sq. Ft.,Single Family Detached,Worcester,Phillipston,1925,,,,,,,
753 Silver Lake St,179900,3,2,"1,530",$118 / Sq. Ft.,Single Family Detached,Worcester,Athol,1950,,,True,True,,,
83 Sanders St,44000,4,2,"1,748",$25 / Sq. Ft.,2 Family,Worcester,Athol,1880,,,,,,,
19 S Main St,449900,4,3.5,"3,380",$133 / Sq. Ft.,Single Family Detached,Worcester,Petersham Historic District,1760,,,True,,True,,
73 E Old St,89500,—,—,—,Sq. Ft.,Residential,Worcester,Petersham,,,,,,,,
61 Briggs Rd W,140000,2,1,896,$156 / Sq. Ft.,Single Family Detached,Worcester,Petersham,1978,,,True,,,True,
267 East St,306900,6,3.5,"3,000",$102 / Sq. Ft.,Single Family Detached,Worcester,Petersham,1968,,,,,,,
31 West St,375000,6,5,"5,520",$68 / Sq. Ft.,3 Family,Worcester,Petersham,1860,,,,,,,
75 Barre Rd,80000,—,—,—,Sq. Ft.,Residential,Worcester,Petersham,,,,,,,,
23 West St,119900,3,2,"3,352",$36 / Sq. Ft.,Single Family Detached,Worcester,Petersham,1850,,,,,,,
64 West Rd,465000,4,2,"3,451",$135 / Sq. Ft.,Single Family Detached,Worcester,Petersham,1762,,,True,,,True,
87 New Salem Rd,295000,5,2.5,"3,147",$94 / Sq. Ft.,Single Family Detached,Worcester,Petersham,1936,,,True,,,,
6 N main St,344900,8,5,"3,500",$99 / Sq. Ft.,Single Family Detached,Worcester,Nichewaug,1860,,,,,,,
28 Barre Rd,94500,—,—,—,Sq. Ft.,Residential,Worcester,Petersham,,,,,,,,
190 Popple Camp Rd Unit All,525000,6,4.5,"4,500",$117 / Sq. Ft.,4 Family,Worcester,Popple Camp Acres,1950,,,,,,,
190 Hardwick Rd,625000,4,3,"2,676",$234 / Sq. Ft.,Equestrian,Worcester,Petersham,1979,,,True,,,,
690.3 New Salem Rd,54900,—,—,—,Sq. Ft.,Residential,Worcester,Petersham,,,,,,,,
690.4 New Salem Rd,34900,—,—,—,Sq. Ft.,Residential,Worcester,Petersham,,,,,,,,
Lot 4 Briggs Rd,29900,—,—,—,Sq. Ft.,Residential,Worcester,Petersham,,,,,,,,
42 S Royalston Rd,100000,2,1,908,$110 / Sq. Ft.,Single Family Detached,Worcester,Royalston,1900,,,,,,,
5 The Cmn,379900,4,2,"2,798",$136 / Sq. Ft.,Single Family Detached,Worcester,Royalston,1820,,,,,,,
40 S Royalston Rd,129900,5,2,"2,400",$54 / Sq. Ft.,Single Family Detached,Worcester,Royalston,1850,,,True,,True,,
2 On The Cmn,192900,4,1,"1,552",$124 / Sq. Ft.,Single Family Detached,Worcester,Royalston,1850,,,True,,,,
0 Warwick Rd,26000,—,—,—,Sq. Ft.,Residential,Worcester,Royalston,,,,,,,,
1-3 Stone Rd,74900,—,—,—,Sq. Ft.,Residential,Worcester,Royalston,,,,,,,,
Lot 44 Athol Rd,30000,—,—,—,Sq. Ft.,Residential,Worcester,Royalston,,,,,,,,
12 On The Cmn,256900,4,2,"2,857",$90 / Sq. Ft.,Single Family Detached,Worcester,Royalston,1810,,,,,,,
0 Main Rd,49000,—,—,—,Sq. Ft.,Residential,Worcester,Phillipston,,,,,,,,
108 Athol Rd,235000,5,1.5,"2,432",$97 / Sq. Ft.,Single Family Detached,Worcester,Royalston,1850,,,,,,,
90 Almount Rd,165000,3,1,"1,188",$139 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1950,,,True,,True,True,
7 Autumn Dr,254900,4,1.5,"1,980",$129 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1968,,,True,,,True,
302 Canton St,175000,3,1,"1,332",$131 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1908,,,True,,,,
218 Heywood St,199900,2,1,"1,036",$193 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1924,,,True,,,,
19 Jeffrey Keating Rd,249900,3,2,"1,939",$129 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1963,,,True,,,True,
197 Lincoln St,187000,3,1,"1,306",$143 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1910,,,,,,True,
535 South St Unit 17-B,149900,2,2,"1,374",$109 / Sq. Ft.,Condominium,Worcester,Fitchburg,1987,,,,,,True,
202 Richardson Rd,193900,2,1,"1,183",$164 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1936,True,,,,,,
480 Princeton Rd,229900,3,2,"1,385",$166 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1956,,,True,,,,
82 Charles,99900,4,2,"2,383",$42 / Sq. Ft.,2 Units Up/Down,Worcester,Fitchburg,1882,,,,,,,
42 Saint Jude Blvd,267000,3,2.5,"1,754",$152 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1997,,,True,,,,
73 Lawrence St,135000,2,1,864,$156 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1965,,,True,,,,
753 River St,184900,6,2,"2,235",$83 / Sq. Ft.,2 Units Up/Down,Worcester,Fitchburg,1900,,,,,,,
394 Kimball St,139900,6,2,"2,429",$58 / Sq. Ft.,2 Family,Worcester,Fitchburg,1900,True,,,,True,,
1180 Water St,149900,3,1,"1,365",$110 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1890,True,,,,,,
717 Westminster Hill Rd #717,119900,2,1.5,864,$139 / Sq. Ft.,Condominium,Worcester,Fitchburg,1987,,,True,,,,
24 Mechanic St,118900,5,2,"2,224",$53 / Sq. Ft.,Single Family Attached,Worcester,Fitchburg,1830,True,,,True,True,,
0 Ashburnham St,24000,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
80 Cleghorn St,155000,6,3,"2,496",$62 / Sq. Ft.,3 Family,Worcester,Fitchburg,1900,,,,,,,
855 John Fitch Hwy #35,92000,2,1,908,$101 / Sq. Ft.,Condominium,Worcester,Fitchburg,1974,,,,,True,,True
0 Billings Rd Lot 1,65000,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
0 Billings Rd Lot 2,65000,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
0 Billings Rd Lot 3,65000,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
0 Billings Rd Lot 5,65000,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
0 Billings St Lot 4,65000,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
0 Billings Rd Lot 6,65000,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
Lot 2A Alpine Rd,319900,3,1.5,"1,536",$208 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,,,,True,,True,,
Lot 1A Alpine Rd,319900,3,1.5,"1,536",$208 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,,,,True,,True,,
Lot 5 Pearl Hill Rd,349900,4,2.5,"2,008",$174 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,2017,,,,,,,
47 Salem St,239900,6,2,"2,271",$106 / Sq. Ft.,2 Units Up/Down,Worcester,Fitchburg,1910,,,,,,,
54 Fox St,249900,5,3,"3,226",$77 / Sq. Ft.,3 Family,Worcester,Fitchburg,1910,,,,,,,
186 Albee St,234900,3,1.5,"1,344",$175 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,2015,,,True,,,,
Lot 3 Marshall Rd,65000,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
Lot 4 Marshall Rd,65000,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
136 Clarendon St,245000,3,2,"1,465",$167 / Sq. Ft.,Single Family Detached,Worcester,Cleghorn,1880,,,,,,,
151 Beech St,89900,4,4,"2,548",$35 / Sq. Ft.,4 Units Up/Down,Worcester,Fitchburg,1900,,,,,,True,
251 Daniels,245000,9,5,"3,945",$62 / Sq. Ft.,3 Family,Worcester,Fitchburg,,,,,,,,
241 Marshall St,125500,3,2,"1,925",$65 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1920,True,,,,,,
94 Marshall Rd,109000,3,1,"1,210",$90 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1900,,,,,,,
114 Beech St,95000,2,1,"1,000",$95 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1887,,,,,,,
34 Constitution Dr #34,144900,2,1.5,"1,246",$116 / Sq. Ft.,Condominium,Worcester,Fitchburg,2005,,,,,,,
A1A &A1B Etonian Park,59900,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
2 Arden Mills Way #2103,189900,2,2,"1,240",$153 / Sq. Ft.,Condominium,Worcester,Fitchburg,2006,True,,,,,,True
100 High Rock Rd,329900,3,2.5,"3,600",$92 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1998,,,True,,,,
81 Eaton St,169900,5,2,"1,912",$89 / Sq. Ft.,2 Family,Worcester,Fitchburg,1910,,,,,True,,
212 Flat Rock Rd,309000,3,2,"2,479",$125 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1770,,,True,,True,,
7 Forest Park,329900,3,2.5,"2,268",$145 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1954,,,True,,True,True,
50 Allen Pl,145000,6,3,"2,208",$66 / Sq. Ft.,3 Family,Worcester,Fitchburg,1900,True,,True,,,True,
3 Mitchell St,179500,3,1,"1,349",$133 / Sq. Ft.,Single Family Detached,Worcester,Fitchburg,1900,,,True,,,,
LOT 11 Goodfellow Dr,124999,—,—,—,Sq. Ft.,Residential,Worcester,Fitchburg,,,,,,,,
55 Gibson Rd,289900,3,2,"1,608",$180 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,1984,,,True,,,,
43 Juniper,299999,3,2.5,"2,000",$150 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,2005,,,,,True,,
281 Lake Rd,289900,3,2.5,"2,126",$136 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,2000,,,True,,,,
49 Fitchburg Rd,349900,4,3,"2,432",$144 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,1830,,,True,,True,,
23 Main St,100000,2,1,"1,460",$68 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,1900,,,,,,,
38-39 Bluefield Rd,140000,—,—,—,Sq. Ft.,Residential,Worcester,Ashburnham,,,,,,,,
207 Ashby Rd,179900,2,1,504,$357 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,1930,,,True,,,,
1 River Styx Rd,175000,5,2,"2,415",$72 / Sq. Ft.,2 Family,Worcester,Ashburnham,1856,,,True,,,,
72 Main St,249900,4,2,"1,881",$133 / Sq. Ft.,Single Family Detached,Worcester,Ashburnham,1880,,,True,,,,
